"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,207,"SVK","Slovakia",1,"Žilinský","Kraj","Region",NA,"Žilina"
2,207,"SVK","Slovakia",2,"Banskobystrický","Kraj","Region",NA,"Banská Bystrica"
3,207,"SVK","Slovakia",3,"Bratislavský","Kraj","Region",NA,"Bratislava"
4,207,"SVK","Slovakia",4,"Košický","Kraj","Region",NA,"Košice"
5,207,"SVK","Slovakia",5,"Nitriansky","Kraj","Region",NA,"Nitra"
6,207,"SVK","Slovakia",6,"Prešov","Kraj","Region",NA,NA
7,207,"SVK","Slovakia",7,"Trenciansky","Kraj","Region",NA,"Trencín"
8,207,"SVK","Slovakia",8,"Trnavský","Kraj","Region",NA,"Trnava"
